1. DEPTH      = 2, WEIGHT_DECAY = 0.1, 
Epoch 062/100 | train 1.1656 | val 1.5001 | test 1.5853
Epoch 063/100 | train 1.1547 | val 1.5015 | test 1.5675
Epoch 064/100 | train 1.1709 | val 1.4905 | test 1.5577
Epoch 065/100 | train 1.1557 | val 1.5106 | test 1.6087
Epoch 066/100 | train 1.1529 | val 1.4863 | test 1.5757
Epoch 067/100 | train 1.1442 | val 1.4797 | test 1.6000
Epoch 068/100 | train 1.1300 | val 1.4875 | test 1.5678
Epoch 069/100 | train 1.1348 | val 1.4666 | test 1.5571
Epoch 070/100 | train 1.1197 | val 1.5099 | test 1.5975
Epoch 071/100 | train 1.1260 | val 1.4793 | test 1.5667
Epoch 072/100 | train 1.1319 | val 1.4904 | test 1.5550         <--
Epoch 073/100 | train 1.1155 | val 1.4654 | test 1.5852
Epoch 074/100 | train 1.0978 | val 1.4877 | test 1.5989
Epoch 075/100 | train 1.0922 | val 1.5182 | test 1.5691
Epoch 076/100 | train 1.0869 | val 1.4858 | test 1.5768
Epoch 077/100 | train 1.1017 | val 1.4707 | test 1.5828
Epoch 078/100 | train 1.0850 | val 1.4704 | test 1.5763
Epoch 079/100 | train 1.0764 | val 1.4576 | test 1.5870
Epoch 080/100 | train 1.0964 | val 1.4606 | test 1.5700
Epoch 081/100 | train 1.0819 | val 1.4792 | test 1.5719
Epoch 082/100 | train 1.0856 | val 1.4583 | test 1.5826
Epoch 083/100 | train 1.0789 | val 1.4697 | test 1.5717
Epoch 084/100 | train 1.0830 | val 1.4722 | test 1.5647
Epoch 085/100 | train 1.0878 | val 1.4581 | test 1.5710
Epoch 086/100 | train 1.0767 | val 1.4581 | test 1.5753
Epoch 087/100 | train 1.0749 | val 1.4775 | test 1.5746
Epoch 088/100 | train 1.0526 | val 1.4653 | test 1.5676
Epoch 089/100 | train 1.0592 | val 1.4600 | test 1.5821
Epoch 090/100 | train 1.0600 | val 1.4657 | test 1.5843
Epoch 091/100 | train 1.0577 | val 1.4716 | test 1.5699
Epoch 092/100 | train 1.0499 | val 1.4601 | test 1.5742
Epoch 093/100 | train 1.0621 | val 1.4593 | test 1.5847
Epoch 094/100 | train 1.0695 | val 1.4666 | test 1.5755
Epoch 095/100 | train 1.0603 | val 1.4660 | test 1.5781
Epoch 096/100 | train 1.0572 | val 1.4672 | test 1.5762
Epoch 097/100 | train 1.0514 | val 1.4660 | test 1.5780
Epoch 098/100 | train 1.0708 | val 1.4655 | test 1.5785
Epoch 099/100 | train 1.0633 | val 1.4664 | test 1.5756
Epoch 100/100 | train 1.0646 | val 1.4674 | test 1.5760

NOISY  | precision 0.4288 | recall 0.4292
CLEAN  | precision 0.4288 | recall 0.4292
Baseline (>=0.3 on noisy): PASS
Figure saved to: results/per_class_metrics.png


5. !!!!!!!!!!!!!!!!!
IMG_SIZE   = 96, DEPTH = 3, WEIGHT_DECAY = 0.1, DROPOUT_LINEAR2 = 0.3, DROPOUT_ATTENTION = 0.3
Epoch 001/100 | train 2.0857 | val 2.0661 | test 2.0548
Epoch 002/100 | train 2.0208 | val 2.0198 | test 1.9943
Epoch 003/100 | train 1.9929 | val 2.0049 | test 1.9821
